trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
534,False,"{'a': 0.5, 'e': 0.06878996970981364}",30,2,-43.07789930102121,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
535,False,"{'a': 0.5, 'e': 0.06844601986126457}",30,16,29.431687546942896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.5, 'e': 0.06810378976195826}",20,8,22.303556589262485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.5, 'e': 0.06776327081314847}",20,14,11.2271382998569,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.5, 'e': 0.06742445445908272}",20,2,5.6130155967362585,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
539,False,"{'a': 0.5, 'e': 0.06708733218678731}",30,13,29.03052813662876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.5, 'e': 0.06675189552585337}",20,9,19.725436081274367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.5, 'e': 0.06641813604822411}",20,15,11.01127147911831,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.5, 'e': 0.06608604536798299}",30,11,33.488666852463304,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.5, 'e': 0.06575561514114306}",20,16,8.492650179170267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.5, 'e': 0.06542683706543735}",30,0,1.6803857804615538,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
545,False,"{'a': 0.5, 'e': 0.06509970288011016}",20,5,23.70556019476683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.5, 'e': 0.06477420436570962}",25,14,-1.3019277392957775,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
547,False,"{'a': 0.5, 'e': 0.06445033334388106}",20,11,18.286581512124215,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.5, 'e': 0.06412808167716166}",20,8,21.128789528575425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.5, 'e': 0.06380744126877586}",25,17,13.807206820368993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.5, 'e': 0.06348840406243197}",20,14,14.234374569381261,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.5, 'e': 0.0631709620421198}",25,15,14.742796243643664,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.5, 'e': 0.06285510723190921}",25,17,18.241200541231755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.5, 'e': 0.06254083169574966}",30,13,25.111562236873922,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.5, 'e': 0.062228127537270916}",20,16,5.88649333539575,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.5, 'e': 0.06191698689958456}",20,15,7.961777012191272,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.5, 'e': 0.061607401965086635}",25,11,22.79692955539044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
